topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
control_astronomy_stars,0,control,30,-0.08162726427927479,0.08162726427927479,-0.0900682107952258,0.0900682107952258,-0.07707236993268676,0.07707236993268676,-0.29644384777070587,0.29644384777070587,0.012279623852000376,0.012279623852000376
control_astronomy_stars,1,control,30,-0.16750754838942844,0.16750754838942844,-0.05586024708974979,0.05586024708974979,0.17501819026563403,0.17501819026563403,0.1769516359611127,0.1769516359611127,0.16793799221676864,0.16793799221676864
control_astronomy_stars,2,control,30,0.3236895514840739,0.3236895514840739,-0.04291895593315344,0.04291895593315344,-0.33196680222556246,0.33196680222556246,0.056030018679927296,0.056030018679927296,-0.361662567791626,0.361662567791626
control_astronomy_stars,3,control,30,-0.09840913072190076,0.09840913072190076,0.2279433487142696,0.2279433487142696,-0.16253010856383301,0.16253010856383301,0.025716784721983528,0.025716784721983528,-0.1504681159718142,0.1504681159718142
control_astronomy_stars,4,control,30,-0.2460941433155735,0.2460941433155735,-0.003946557182033943,0.003946557182033943,-0.31534087046209974,0.31534087046209974,0.15802816553526006,0.15802816553526006,-0.3723668887766261,0.3723668887766261
control_biology_photosynthesis,0,control,30,0.5677109139663415,0.5677109139663415,0.05198302681655064,0.05198302681655064,-0.16998470526732165,0.16998470526732165,-0.14567288235522738,0.14567288235522738,-0.15106970812845733,0.15106970812845733
control_biology_photosynthesis,1,control,30,0.18447342838465822,0.18447342838465822,0.06748470588185622,0.06748470588185622,-0.06479706348054193,0.06479706348054193,-0.16455482658586038,0.16455482658586038,-0.07417904256679717,0.07417904256679717
control_biology_photosynthesis,2,control,30,0.25550052699700676,0.25550052699700676,0.2282652729407032,0.2282652729407032,0.22976751736228973,0.22976751736228973,-0.2062182466985326,0.2062182466985326,0.18902683492124878,0.18902683492124878
control_biology_photosynthesis,3,control,30,-0.37454397696871145,0.37454397696871145,0.004142831779335755,0.004142831779335755,-0.2274722220607401,0.2274722220607401,0.05498585360638201,0.05498585360638201,-0.19238492473806681,0.19238492473806681
control_biology_photosynthesis,4,control,30,0.2973070214399326,0.2973070214399326,-0.01340637205880258,0.01340637205880258,0.10197268102668969,0.10197268102668969,-0.17228084292032012,0.17228084292032012,0.12187718924587994,0.12187718924587994
control_chemistry_organic,0,control,30,-0.1601516892389499,0.1601516892389499,0.18975062747964228,0.18975062747964228,0.12137002264793081,0.12137002264793081,0.2026680256860412,0.2026680256860412,0.12003516043420978,0.12003516043420978
control_chemistry_organic,1,control,30,0.2664549282282844,0.2664549282282844,-0.07882666953807367,0.07882666953807367,-0.21591772347546334,0.21591772347546334,0.28619108213680544,0.28619108213680544,-0.20458338873893162,0.20458338873893162
control_chemistry_organic,2,control,30,-0.2609518013271328,0.2609518013271328,-0.23565967748076155,0.23565967748076155,0.022271312289171247,0.022271312289171247,-0.0034098121630257473,0.0034098121630257473,-0.025615599469758603,0.025615599469758603
control_chemistry_organic,3,control,30,-0.06209140375592625,0.06209140375592625,0.2206103696539549,0.2206103696539549,0.22684310943056493,0.22684310943056493,0.07143257952756561,0.07143257952756561,0.20710833428825798,0.20710833428825798
control_chemistry_organic,4,control,30,-0.46194072963473204,0.46194072963473204,0.14764772579586138,0.14764772579586138,-0.08661844898762554,0.08661844898762554,0.13171221860486287,0.13171221860486287,-0.15430334778975768,0.15430334778975768
